,Episode,Best score so far,Eval score,"Eval, g: []: mean_agg","Eval, g: []: std_agg","Eval, g: []: mean_C0","Eval, g: []: std_C0",Loss 1,"Train, Cost 1","Train, Aggregated cost"
20,21,50184.16689173132,50445.28125703335,1549.4274200960765,1549.4274200960765,50445.28125703335,0.0,6476.50048828125,52374.40230515599,1556.2060946386023
21,22,50184.16689173132,50378.9902466014,1540.7050350499726,1540.7050350499726,50378.9902466014,0.0,6405.65283203125,50986.52195330709,1557.9344661406599
22,23,50184.16689173132,50448.86760412902,1541.2606839408668,1541.2606839408668,50448.86760412902,0.0,6410.099609375,48438.05416687578,1514.0611769124866
23,24,50184.16689173132,50448.86760412902,1541.2606839408668,1541.2606839408668,50448.86760412902,0.0,6468.95849609375,50473.59881038219,1541.124809173139
24,25,50184.16689173132,51096.378579474986,1565.7553846402006,1565.7553846402006,51096.378579474986,0.0,6395.65283203125,49708.27154073119,1532.6684136574772
25,26,50184.16689173132,51361.147144287825,1567.8634471799433,1567.8634471799433,51361.147144287825,0.0,6357.89697265625,54839.89088214934,1636.5878574445615
26,27,50184.16689173132,51570.41109276563,1576.1495284954974,1576.1495284954974,51570.41109276563,0.0,6431.001953125,50054.765308737755,1547.3472952405305
27,28,50184.16689173132,51186.22568766773,1566.0363150446117,1566.0363150446117,51186.22568766773,0.0,6403.40576171875,51498.15021558851,1574.8044026350171
28,29,50184.16689173132,51186.22568766773,1566.0363150446117,1566.0363150446117,51186.22568766773,0.0,6391.521484375,51051.63405494392,1560.9253724730015
29,30,50184.16689173132,51186.22568766773,1566.0363150446117,1566.0363150446117,51186.22568766773,0.0,6350.2578125,50821.68532637507,1561.8699530111255
30,31,50184.16689173132,55461.572234518826,1606.0659784789268,1606.0659784789268,55461.572234518826,0.0,6380.78125,52316.39117304236,1593.349267027149
31,32,49410.087842583656,49410.087842583656,1520.4730368098387,1520.4730368098387,49410.087842583656,0.0,6472.29638671875,59552.20208989084,1677.4984499627813
32,33,48914.331187814474,48914.331187814474,1514.6912596674836,1514.6912596674836,48914.331187814474,0.0,6369.849609375,51495.99019707739,1563.7554691358255
33,34,48879.27455256134,48879.27455256134,1514.522451315442,1514.522451315442,48879.27455256134,0.0,6426.12451171875,48713.28704596311,1514.2407592508655
34,35,48879.27455256134,58610.1219080165,1650.4078569306548,1650.4078569306548,58610.1219080165,0.0,6394.083984375,49452.34629458934,1526.5037487144311
35,36,48879.27455256134,58610.1219080165,1650.4078569306548,1650.4078569306548,58610.1219080165,0.0,6409.48681640625,58902.26628835499,1654.008014138788
36,37,48879.27455256134,58610.1219080165,1650.4078569306548,1650.4078569306548,58610.1219080165,0.0,6395.68603515625,50133.14437817037,1538.7299153318313
37,38,48879.27455256134,50840.76484207064,1541.5028231840752,1541.5028231840752,50840.76484207064,0.0,6396.93994140625,50551.095260590315,1550.2081634866504
38,39,48879.27455256134,49753.704789467156,1528.6132376264952,1528.6132376264952,49753.704789467156,0.0,6403.400390625,51128.06029891968,1547.2707051495863
39,40,48879.27455256134,49798.73349880427,1528.767705078698,1528.767705078698,49798.73349880427,0.0,6335.08740234375,49860.871261917055,1530.919157439711
40,41,48879.27455256134,53461.82652749121,1607.7593729038995,1607.7593729038995,53461.82652749121,0.0,6394.37255859375,49431.896817326546,1534.2355279910335
